Original,linear:128_layers:3,linear:64_layers:3,linear:15_layers:3,cubic:15_layers:3,cubic:64_layers:3,cubic:128_layers:3,bspline:10_layers:3,bspline:15_layers:3,linear:128_layers:4,linear:64_layers:4,linear:15_layers:4,cubic:15_layers:4,cubic:64_layers:4,cubic:128_layers:4,bspline:10_layers:4,bspline:15_layers:4
2.740336310586534,3.7411129474639893,3.7847139835357666,2.8097946643829346,2.10047728461468,3.780581264640743,3.7674557772959316,2.691110134124756,3.9852278232574463,1.8487902879714966,3.9716219902038574,2.741211175918579,2.7602864247855816,1.7952466939948646,3.390580311177574,2.5119779109954834,3.7789578437805176
1.7997673618489403,3.0398480892181396,5.489168643951416,3.6721761226654053,1.8928386360453096,2.7483618442630524,2.8842584432884353,2.618682384490967,3.869352102279663,3.982093334197998,3.9480671882629395,1.7645936012268066,1.8391522098760942,2.7104980905794274,3.9537041782506024,1.7201085090637207,3.819037914276123
3.869756991734745,8.770273208618164,2.9117319583892822,3.6552376747131348,3.8033776150724483,2.7966216893577074,3.887722183855308,3.1711976528167725,3.823528528213501,4.521553993225098,3.795955181121826,3.7430715560913086,3.903274186164054,3.9464086243532126,3.87387643584624,3.232112407684326,3.7705421447753906
2.959535519926894,3.705997943878174,3.9046216011047363,3.3218741416931152,2.8646275831245718,3.8876166467472477,11.474246658509015,3.2430944442749023,2.8121631145477295,3.8621606826782227,3.808046579360962,2.731893539428711,2.8138753591680747,2.867188562660393,2.05415765485519,2.7728919982910156,2.8007030487060547
3.858831864977257,2.9172279834747314,2.7363429069519043,3.8610129356384277,3.7928083340171157,2.983168406440456,7.140086834458689,3.364931344985962,2.791588068008423,1.9148204326629639,3.999013900756836,4.46044397354126,3.7235680737737495,3.8104063517837696,6.923215067515656,2.812351942062378,1.8943992853164673
1.9220832860543207,13.883251190185547,1.9028218984603882,3.797189235687256,1.7953831474558182,2.726426207895781,3.8248691981217218,1.8819224834442139,2.9421868324279785,4.072248935699463,3.814530372619629,2.7022197246551514,1.7963362206808147,1.8330154846101863,4.04367313617464,2.6416285037994385,3.77101731300354
3.891287109408849,3.912964105606079,2.8257269859313965,4.311793327331543,3.9213860436175128,3.7547708355892606,2.1612568657047704,3.012711763381958,2.807746648788452,24.224767684936523,3.798048734664917,3.770328998565674,3.836766052612288,3.776694150945849,4.864483515273577,3.503042221069336,3.8215243816375732
1.7670712467565635,4.403504848480225,3.711268424987793,4.363500118255615,1.850395314072011,3.8623357462363184,5.50449269897979,2.869494676589966,2.792665958404541,4.006702899932861,1.7636594772338867,2.7460708618164062,2.88013734960877,3.7495278668161,6.140529412396057,2.6162474155426025,2.694272518157959
2.7534950161776366,7.38025426864624,2.7558348178863525,4.306879997253418,2.774157839941348,1.825401631627811,3.85898026653612,2.7871744632720947,3.8780195713043213,3.6601176261901855,3.6978871822357178,2.6981844902038574,2.8625051034690845,2.802172425013048,5.1686863985930875,2.518476724624634,3.8621115684509277
3.0104471851364702,3.767206907272339,1.8331961631774902,3.7943215370178223,3.728214063696421,3.644632189971589,2.4707180185535838,3.6704108715057373,3.8998708724975586,3.8086583614349365,3.7164478302001953,2.7856392860412598,3.7737603155589556,2.8304323940638145,2.908305746042593,2.7665576934814453,3.8356878757476807
2.89464142723589,4.166945457458496,2.008084297180176,2.6751058101654053,3.9612177748068715,3.827465483789063,11.288608657045613,2.7848527431488037,3.764470338821411,6.4671807289123535,3.780106544494629,3.7562270164489746,2.9598304531427035,3.8338850908394067,2.931024003825126,3.317314386367798,1.8450173139572144
